date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2017-01-03,sh.600351,9.9300,9.9400,9.8100,9.8500,9.8800,2205704,21751049.0000,0.318743,-0.303641,1,0
2017-01-04,sh.600351,9.8800,9.8900,9.7600,9.8800,9.8500,2872177,28224114.0000,0.415054,0.304566,1,0
2017-01-05,sh.600351,9.8700,9.8800,9.7900,9.8300,9.8800,3537057,34741473.0000,0.511135,-0.506075,1,0
2017-01-06,sh.600351,9.8400,9.8400,9.7000,9.7300,9.8300,3338803,32517535.0000,0.482486,-1.017298,1,0
2017-01-09,sh.600351,9.7400,9.7400,9.6100,9.6900,9.7300,6045387,58314066.0000,0.873611,-0.411099,1,0
2017-01-10,sh.600351,9.7000,9.7300,9.6500,9.6900,9.6900,2465901,23917331.0000,0.356344,0.000000,1,0
2017-01-11,sh.600351,9.6800,9.6800,9.5800,9.6000,9.6900,2406994,23163950.0000,0.347832,-0.928784,1,0
2017-01-12,sh.600351,9.6100,9.6300,9.5200,9.5300,9.6000,2489355,23833246.0000,0.359733,-0.729173,1,0
2017-01-13,sh.600351,9.5300,9.5500,9.4800,9.4900,9.5300,2171210,20632168.0000,0.313759,-0.419727,1,0
2017-01-16,sh.600351,9.4500,9.5000,9.0000,9.2300,9.4900,6405600,59235774.0000,0.925665,-2.739728,1,0
2017-01-17,sh.600351,9.2000,9.2400,9.0900,9.2200,9.2300,2335793,21400200.0000,0.337542,-0.108335,1,0
2017-01-18,sh.600351,9.2100,9.2300,9.0800,9.1100,9.2200,2325158,21212292.0000,0.336005,-1.193065,1,0
2017-01-19,sh.600351,9.1100,9.1400,9.0200,9.0800,9.1100,2149258,19509174.0000,0.310586,-0.329305,1,0
2017-01-20,sh.600351,8.9900,9.2000,8.9200,9.1600,9.0800,3926624,35638907.0000,0.567431,0.881056,1,0
2017-01-23,sh.600351,9.1500,9.2600,9.1500,9.1800,9.1600,1638601,15076531.0000,0.236792,0.218346,1,0
2017-01-24,sh.600351,9.2500,9.2500,9.1100,9.1200,9.1800,1676955,15374572.0000,0.242335,-0.653599,1,0
2017-01-25,sh.600351,9.1200,9.1900,9.0900,9.1600,9.1200,946574,8663930.0000,0.136788,0.438596,1,0
2017-01-26,sh.600351,9.1600,9.2100,9.1500,9.1700,9.1600,1322337,12136054.0000,0.191089,0.109173,1,0
2017-02-03,sh.600351,9.1700,9.2100,9.1400,9.2000,9.1700,1362715,12519908.0000,0.196924,0.327151,1,0
2017-02-06,sh.600351,9.1900,9.3800,9.1600,9.3500,9.2000,2819338,26194518.0000,0.407419,1.630441,1,0
2017-02-07,sh.600351,9.3000,9.3400,9.2400,9.2800,9.3500,1905578,17678299.0000,0.275373,-0.748670,1,0
2017-02-08,sh.600351,9.3000,9.3100,9.2200,9.3100,9.2800,1745036,16156638.0000,0.252173,0.323283,1,0
2017-02-09,sh.600351,9.2800,9.3300,9.2600,9.3000,9.3100,3241374,30141175.0000,0.468407,-0.107414,1,0
2017-02-10,sh.600351,9.3200,9.3300,9.1900,9.2100,9.3000,4112369,38035460.0000,0.594273,-0.967743,1,0
2017-02-13,sh.600351,9.2000,9.4400,9.1600,9.4200,9.2100,7650455,71018818.0000,1.105557,2.280131,1,0
