date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2017-01-03,sz.002378,9.7400,9.8900,9.7400,9.8800,9.7900,2960737,29206401.0000,0.320796,0.919307,1,0
2017-01-04,sz.002378,9.9000,10.0700,9.8700,10.0400,9.8800,4959239,49436911.0000,0.537334,1.619432,1,0
2017-01-05,sz.002378,10.0100,10.0800,9.9700,10.0200,10.0400,4717727,47237459.0000,0.511167,-0.199198,1,0
2017-01-06,sz.002378,10.0300,10.0500,9.9300,9.9400,10.0200,3916763,39034796.0000,0.424382,-0.798412,1,0
2017-01-09,sz.002378,9.9400,10.0500,9.9000,10.0500,9.9400,4010651,40011599.0000,0.434555,1.106646,1,0
2017-01-10,sz.002378,10.0800,10.1800,9.9400,10.0700,10.0500,6285906,63188602.0000,0.681079,0.199000,1,0
2017-01-11,sz.002378,10.0400,10.2400,9.9700,10.1200,10.0700,7125762,71909926.0000,0.772078,0.496526,1,0
2017-01-12,sz.002378,10.0900,10.0900,9.8000,9.9000,10.1200,4849180,48349992.0000,0.525409,-2.173916,1,0
2017-01-13,sz.002378,9.8500,9.9600,9.5100,9.5300,9.9000,6222136,60570387.0000,0.674170,-3.737373,1,0
2017-01-16,sz.002378,9.5000,9.5300,8.5800,8.9100,9.5300,14376466,130327437.0000,1.557693,-6.505770,1,0
2017-01-17,sz.002378,8.9000,8.9700,8.5100,8.9500,8.9100,6709872,59424526.0000,0.727016,0.448933,1,0
2017-01-18,sz.002378,8.9000,8.9600,8.8600,8.9100,8.9500,3983230,35539677.0000,0.431584,-0.446927,1,0
2017-01-19,sz.002378,8.9100,9.2500,8.8300,9.0200,8.9100,5828136,52494581.0000,0.631480,1.234575,1,0
2017-01-20,sz.002378,8.9400,9.1200,8.9200,9.0800,9.0200,3764843,34096204.0000,0.407921,0.665183,1,0
2017-01-23,sz.002378,9.1000,9.3200,9.0800,9.2100,9.0800,5544564,50997251.0000,0.600754,1.431719,1,0
2017-01-24,sz.002378,9.1600,9.2100,9.1000,9.1500,9.2100,3415406,31281549.0000,0.370060,-0.651470,1,0
2017-01-25,sz.002378,9.1600,9.3900,9.1600,9.3000,9.1500,5668635,52672061.0000,0.614198,1.639351,1,0
2017-01-26,sz.002378,9.3000,9.7800,9.3000,9.6700,9.3000,9986558,95468254.0000,1.082045,3.978493,1,0
2017-02-03,sz.002378,9.7200,9.7200,9.4100,9.4700,9.6700,5390416,51308155.0000,0.584053,-2.068250,1,0
2017-02-06,sz.002378,9.4700,9.5600,9.4200,9.5100,9.4700,3221168,30534853.0000,0.349014,0.422386,1,0
2017-02-07,sz.002378,9.4900,9.6500,9.4700,9.5700,9.5100,5091651,48695714.0000,0.551681,0.630909,1,0
2017-02-08,sz.002378,9.5500,9.6500,9.4300,9.6500,9.5700,5381276,51467424.0000,0.583062,0.835945,1,0
2017-02-09,sz.002378,9.6000,9.7100,9.5700,9.7000,9.6500,4665004,45050734.0000,0.505454,0.518137,1,0
2017-02-10,sz.002378,9.7000,9.8500,9.6100,9.8100,9.7000,6512960,63489570.0000,0.705680,1.134027,1,0
2017-02-13,sz.002378,9.9400,10.0200,9.7900,9.8900,9.8100,7353165,72894629.0000,0.796717,0.815494,1,0
2017-02-14,sz.002378,9.8900,9.9200,9.7400,9.9200,9.8900,5214422,51321063.0000,0.564984,0.303334,1,0
2017-02-15,sz.002378,9.8300,9.8800,9.6200,9.6700,9.9200,5710621,55683619.0000,0.618747,-2.520161,1,0
2017-02-16,sz.002378,9.6500,10.1300,9.6300,10.0100,9.6700,14540755,145133053.0000,1.575493,3.516031,1,0
2017-02-17,sz.002378,9.9300,10.0000,9.8100,9.8200,10.0100,6536239,64734079.0000,0.708203,-1.898107,1,0
2017-02-20,sz.002378,9.8200,9.9100,9.7100,9.9100,9.8200,5679426,55722983.0000,0.615367,0.916498,1,0
2017-02-21,sz.002378,9.8900,10.9000,9.8400,10.6000,9.9100,43131642,462432544.0000,4.673321,6.962670,1,0
2017-02-22,sz.002378,10.4700,10.8300,10.3900,10.5500,10.6000,30171029,320794512.0000,3.269036,-0.471700,1,0
2017-02-23,sz.002378,10.5800,11.0800,10.5700,10.7300,10.5500,29916262,323059552.0000,3.241432,1.706155,1,0
2017-02-24,sz.002378,10.6500,10.9500,10.4700,10.6500,10.7300,18447532,196650118.0000,1.998793,-0.745572,1,0
2017-02-27,sz.002378,10.6900,10.9100,10.5800,10.6700,10.6500,13275801,142197944.0000,1.438435,0.187798,1,0
2017-02-28,sz.002378,10.7000,11.2800,10.6900,10.8900,10.6700,27583306,302696064.0000,2.988656,2.061858,1,0
2017-03-01,sz.002378,10.7300,10.9200,10.4500,10.8600,10.8900,21292482,227754184.0000,2.307044,-0.275488,1,0
2017-03-02,sz.002378,10.7900,11.3000,10.7400,10.8900,10.8600,28738468,317057392.0000,3.113818,0.276249,1,0
2017-03-03,sz.002378,10.7700,11.2700,10.6800,11.1200,10.8900,24555604,270553152.0000,2.660604,2.112025,1,0
2017-03-06,sz.002378,10.9900,11.0500,10.8300,10.9900,11.1200,14894449,163048663.0000,1.613816,-1.169066,1,0
2017-03-07,sz.002378,10.9100,10.9500,10.5600,10.6100,10.9900,19833078,211844548.0000,2.148917,-3.457690,1,0
2017-03-08,sz.002378,10.6200,10.8800,10.4600,10.8500,10.6100,17470109,185905058.0000,1.892889,2.262024,1,0
2017-03-09,sz.002378,10.7000,10.7700,10.5100,10.5400,10.8500,13746030,146127094.0000,1.489385,-2.857147,1,0
2017-03-10,sz.002378,10.5700,10.6100,10.4100,10.4500,10.5400,9209097,96632432.0000,0.997807,-0.853891,1,0
2017-03-13,sz.002378,10.4500,10.6200,10.3400,10.6100,10.4500,10439282,109930595.0000,1.131098,1.531099,1,0
2017-03-14,sz.002378,10.6200,10.6700,10.4200,10.4700,10.6100,8936438,93999753.0000,0.968265,-1.319504,1,0
2017-03-15,sz.002378,10.4100,10.5500,10.4000,10.4300,10.4700,6559062,68719028.0000,0.710676,-0.382044,1,0
2017-03-16,sz.002378,10.5200,10.7900,10.4800,10.5900,10.4300,12155454,128900464.0000,1.317046,1.534035,1,0
2017-03-17,sz.002378,10.6500,10.8300,10.5500,10.6200,10.5900,17058894,182483421.0000,1.848334,0.283284,1,0
2017-03-20,sz.002378,10.6000,10.8400,10.5700,10.7100,10.6200,11373004,122075522.0000,1.232267,0.847459,1,0
2017-03-21,sz.002378,10.6900,10.7900,10.5000,10.5500,10.7100,8731812,92594843.0000,0.946093,-1.493930,1,0
2017-03-22,sz.002378,10.5600,10.6500,10.4800,10.5800,10.5500,7459002,78893509.0000,0.808184,0.284358,1,0
2017-03-23,sz.002378,10.5600,10.5800,10.1800,10.2500,10.5800,12629031,131027667.0000,1.368358,-3.119092,1,0
2017-03-24,sz.002378,10.2500,10.2800,9.9600,10.0100,10.2500,11800606,118695036.0000,1.278598,-2.341461,1,0
2017-03-27,sz.002378,10.0000,10.0800,9.9000,10.0000,10.0100,6090348,60916598.0000,0.659890,-0.099902,1,0
2017-03-28,sz.002378,10.0400,10.0900,9.9900,10.0200,10.0000,4409355,44183052.0000,0.477754,0.200005,1,0
2017-03-29,sz.002378,10.0800,10.1100,9.9900,10.0200,10.0200,5763602,57934057.0000,0.624487,0.000000,1,0
2017-03-30,sz.002378,10.0200,10.0700,9.6400,9.6700,10.0200,9746680,95407603.0000,1.056054,-3.493018,1,0
2017-03-31,sz.002378,9.6800,9.7900,9.6800,9.7500,9.6700,4239922,41309066.0000,0.459396,0.827300,1,0
2017-04-05,sz.002378,9.7500,10.1200,9.7500,10.0800,9.7500,8066080,80521191.0000,0.873961,3.384615,1,0
2017-04-06,sz.002378,10.1100,10.1800,10.0300,10.0600,10.0800,5877128,59324058.0000,0.636788,-0.198408,1,0
2017-04-07,sz.002378,10.0700,10.1700,10.0100,10.0600,10.0600,4782260,48334425.0000,0.518159,0.000000,1,0
2017-04-10,sz.002378,10.0600,10.0600,9.8300,9.8600,10.0600,6773028,67153891.0000,0.733859,-1.988079,1,0
2017-04-11,sz.002378,9.8900,9.9400,9.6400,9.9000,9.8600,6038454,59216396.0000,0.654268,0.405679,1,0
2017-04-12,sz.002378,9.9000,9.9700,9.7700,9.8800,9.9000,5126956,50723001.0000,0.555507,-0.202015,1,0
2017-04-13,sz.002378,9.8500,9.9200,9.8100,9.8400,9.8800,3421083,33727540.0000,0.370675,-0.404858,1,0
2017-04-14,sz.002378,9.8400,9.8500,9.6000,9.6300,9.8400,4697389,45676855.0000,0.508963,-2.134147,1,0
2017-04-17,sz.002378,9.6600,9.7500,9.2800,9.3600,9.6300,6717994,63601216.0000,0.727896,-2.803743,1,0
2017-04-18,sz.002378,9.3500,9.5200,9.3200,9.3500,9.3600,4173299,39345537.0000,0.452178,-0.106830,1,0
2017-04-19,sz.002378,9.2100,9.3000,9.0500,9.1500,9.3500,6144671,56200270.0000,0.665776,-2.139045,1,0
2017-04-20,sz.002378,9.1900,9.2400,9.0700,9.2000,9.1500,3912823,35802878.0000,0.423955,0.546450,1,0
2017-04-21,sz.002378,9.2300,9.3200,9.1800,9.2200,9.2000,3713824,34400257.0000,0.402393,0.217396,1,0
2017-04-24,sz.002378,9.2200,9.2200,8.8500,8.8600,9.2200,4761480,42675291.0000,0.515907,-3.904562,1,0
2017-04-25,sz.002378,8.9400,8.9900,8.8700,8.8800,8.8600,2951000,26358337.0000,0.319741,0.225739,1,0
2017-04-26,sz.002378,8.9400,9.0200,8.8900,8.9800,8.8800,3357897,30103121.0000,0.363829,1.126120,1,0
2017-04-27,sz.002378,8.9200,9.1700,8.7300,9.0600,8.9800,5415282,48696867.0000,0.586747,0.890878,1,0
2017-04-28,sz.002378,9.1000,9.1300,9.0300,9.1100,9.0600,2688700,24450748.0000,0.291321,0.551868,1,0
2017-05-02,sz.002378,9.1200,9.1900,9.0800,9.1900,9.1100,3261433,29800832.0000,0.353377,0.878155,1,0
2017-05-03,sz.002378,9.3300,10.0700,9.2300,9.7400,9.1900,19301070,188217129.0000,2.091274,5.984768,1,0
2017-05-04,sz.002378,9.5300,9.7900,9.4200,9.5900,9.7400,8916742,85753028.0000,0.966131,-1.540037,1,0
2017-05-05,sz.002378,9.5500,9.5900,9.3000,9.3000,9.5900,5897433,55462440.0000,0.638988,-3.023983,1,0
2017-05-08,sz.002378,9.3000,9.5300,9.1900,9.2000,9.3000,4698814,44091496.0000,0.509117,-1.075273,1,0
