date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,isST
2018-01-02,sh.600000,12.6100,12.7700,12.6000,12.7200,12.5900,31323053,398614966.0000,0.111455,1,0
2018-01-03,sh.600000,12.7300,12.8000,12.6600,12.6600,12.7200,37839101,480954809.0000,0.134641,1,0
2018-01-04,sh.600000,12.7000,12.7300,12.6200,12.6600,12.6600,27883804,353205838.0000,0.099217,1,0
2018-01-05,sh.600000,12.6700,12.7100,12.6200,12.6900,12.6600,31026744,393058250.0000,0.110401,1,0
2018-01-08,sh.600000,12.6900,12.7100,12.6300,12.6800,12.6900,31389887,397842209.0000,0.111693,1,0
2018-01-09,sh.600000,12.6800,12.7400,12.6600,12.7000,12.6800,26215432,332848333.0000,0.093281,1,0
2018-01-10,sh.600000,12.7000,13.0900,12.6800,13.0200,12.7000,90679990,1174202006.0000,0.322661,1,0
2018-01-11,sh.600000,12.9500,13.0400,12.8700,12.9400,13.0200,37816412,489588906.0000,0.134560,1,0
2018-01-12,sh.600000,12.9700,13.0000,12.9000,12.9100,12.9400,24203419,313215088.0000,0.086122,1,0
2018-01-15,sh.600000,12.8800,13.0800,12.8500,13.0200,12.9100,61320680,796861091.0000,0.218194,1,0
2018-01-16,sh.600000,12.9700,13.0600,12.7800,12.9000,13.0200,74892652,963701144.0000,0.266486,1,0
2018-01-17,sh.600000,12.9100,13.4200,12.8900,13.1000,12.9000,127132813,1675235171.0000,0.452369,1,0
2018-01-18,sh.600000,13.1400,13.2500,13.0500,13.2400,13.1000,111608076,1465159094.0000,0.397129,1,0
2018-01-19,sh.600000,13.3300,13.6100,13.1800,13.2400,13.2400,171648871,2300220633.0000,0.610768,1,0
2018-01-22,sh.600000,12.9300,13.1500,12.7100,12.7700,13.2400,272513808,3514775144.0000,0.969670,1,0
2018-01-23,sh.600000,12.7500,12.9200,12.6800,12.9000,12.7700,217827457,2791828653.0000,0.775083,1,0
2018-01-24,sh.600000,12.9700,14.0000,12.8900,13.5700,12.9000,379653632,5099364114.0000,1.350900,1,0
2018-01-25,sh.600000,13.5400,13.7600,13.3600,13.6500,13.5700,176989631,2400208784.0000,0.629772,1,0
2018-01-26,sh.600000,13.6500,13.7200,13.3600,13.4100,13.6500,218419685,2954019925.0000,0.777190,1,0
2018-01-29,sh.600000,13.4800,13.5300,13.3200,13.4600,13.4100,153783104,2065139247.0000,0.547198,1,0
2018-01-30,sh.600000,13.4500,13.4900,13.0900,13.1100,13.4600,107804018,1429924976.0000,0.383593,1,0
2018-01-31,sh.600000,13.0500,13.1900,12.9800,13.1700,13.1100,117703264,1541960901.0000,0.418817,1,0
2018-02-01,sh.600000,13.1400,13.3300,12.9400,13.3000,13.1700,173573331,2289044601.0000,0.617616,1,0
2018-02-02,sh.600000,13.1900,13.1900,13.0100,13.1400,13.3000,71796780,941467191.0000,0.255470,1,0
2018-02-05,sh.600000,13.0000,13.5400,12.9800,13.4900,13.1400,150149657,2006361757.0000,0.534269,1,0
2018-02-06,sh.600000,13.2900,13.5000,13.2000,13.4800,13.4900,244358992,3270199180.0000,0.869488,1,0
2018-02-07,sh.600000,13.5800,13.9000,13.2400,13.4500,13.4800,200770115,2720519687.0000,0.714389,1,0
2018-02-08,sh.600000,13.3400,13.4000,12.9500,13.1000,13.4500,109426872,1438198801.0000,0.389367,1,0
2018-02-09,sh.600000,12.8900,12.9800,12.2400,12.7800,13.1000,149257356,1877264356.0000,0.531094,1,0
2018-02-12,sh.600000,12.6600,12.6800,12.4300,12.4900,12.7800,64799197,811027710.0000,0.230571,1,0
2018-02-13,sh.600000,12.5500,12.6800,12.5000,12.5100,12.4900,54900214,690054113.0000,0.195348,1,0
2018-02-14,sh.600000,12.5000,12.5500,12.3800,12.4600,12.5100,32597811,406060202.0000,0.115991,1,0
2018-02-22,sh.600000,12.6000,12.6800,12.5300,12.6300,12.4600,42012285,529856471.0000,0.149490,1,0
2018-02-23,sh.600000,12.6600,12.7800,12.5900,12.7200,12.6300,38736515,491768409.0000,0.137834,1,0
2018-02-26,sh.600000,12.7700,12.8400,12.6100,12.7300,12.7200,48806055,620261080.0000,0.173664,1,0
2018-02-27,sh.600000,12.7500,12.7600,12.6100,12.6900,12.7300,48561087,615622149.0000,0.172792,1,0
2018-02-28,sh.600000,12.6100,12.6600,12.4400,12.4600,12.6900,39888938,499258844.0000,0.141935,1,0
2018-03-01,sh.600000,12.4000,12.5000,12.3800,12.4700,12.4600,34491031,429574072.0000,0.122727,1,0
2018-03-02,sh.600000,12.4000,12.4600,12.3600,12.4100,12.4700,23024132,285473130.0000,0.081925,1,0
2018-03-05,sh.600000,12.4100,12.4800,12.3400,12.4200,12.4100,29343464,363849705.0000,0.104411,1,0
2018-03-06,sh.600000,12.4800,12.5100,12.3800,12.4900,12.4200,27222668,339015159.0000,0.096865,1,0
2018-03-07,sh.600000,12.5100,12.6000,12.4600,12.4900,12.4900,38817575,487036820.0000,0.138122,1,0
2018-03-08,sh.600000,12.5500,12.5500,12.4000,12.4700,12.4900,22164132,276013913.0000,0.078865,1,0
2018-03-09,sh.600000,12.4900,12.5100,12.4200,12.4800,12.4700,23558287,293550899.0000,0.083826,1,0
2018-03-12,sh.600000,12.5300,12.5400,12.4600,12.5000,12.4800,25161821,314544074.0000,0.089532,1,0
2018-03-13,sh.600000,12.5000,12.5800,12.4300,12.4900,12.5000,25145000,314545358.0000,0.089472,1,0
2018-03-14,sh.600000,12.4500,12.4500,12.3800,12.3900,12.4900,22804603,282970086.0000,0.081144,1,0
2018-03-15,sh.600000,12.3500,12.4100,12.3400,12.3900,12.3900,17287774,213972089.0000,0.061514,1,0
2018-03-16,sh.600000,12.3600,12.4000,12.3000,12.3000,12.3900,26781399,330778426.0000,0.095295,1,0
2018-03-19,sh.600000,12.3100,12.3300,12.2600,12.3100,12.3000,16896048,207819310.0000,0.060120,1,0
2018-03-20,sh.600000,12.2800,12.3900,12.2500,12.3200,12.3100,20672283,254187843.0000,0.073557,1,0
2018-03-21,sh.600000,12.3400,12.4000,12.2800,12.2900,12.3200,23878465,294872209.0000,0.084965,1,0
2018-03-22,sh.600000,12.3500,12.3500,12.2500,12.2500,12.2900,22948484,281975042.0000,0.081656,1,0
2018-03-23,sh.600000,12.0000,12.0600,11.6400,11.7100,12.2500,57106391,676679666.0000,0.203198,1,0
2018-03-26,sh.600000,11.7100,11.7500,11.5000,11.6100,11.7100,36425054,422233460.0000,0.129609,1,0
2018-03-27,sh.600000,11.7000,11.7700,11.5600,11.6200,11.6100,27332809,318586664.0000,0.097257,1,0
2018-03-28,sh.600000,11.5300,11.7500,11.5200,11.5700,11.6200,22911282,266121467.0000,0.081524,1,0
2018-03-29,sh.600000,11.5700,11.7100,11.4500,11.6200,11.5700,33108805,383064999.0000,0.117809,1,0
2018-03-30,sh.600000,11.6300,11.6900,11.6100,11.6500,11.6200,23271965,270987701.0000,0.082807,1,0
2018-04-02,sh.600000,11.6800,11.8200,11.6500,11.7100,11.6500,27719599,325667590.0000,0.098633,1,0
2018-04-03,sh.600000,11.6600,11.6700,11.5400,11.5600,11.7100,18303514,211906876.0000,0.065128,1,0
2018-04-04,sh.600000,11.6100,11.6500,11.5300,11.5300,11.5600,19637509,227689712.0000,0.069875,1,0
2018-04-09,sh.600000,11.5300,11.5900,11.4900,11.5000,11.5300,16722481,192709506.0000,0.059503,1,0
2018-04-10,sh.600000,11.5200,11.7900,11.5100,11.7700,11.5000,28748298,336076808.0000,0.102293,1,0
2018-04-11,sh.600000,11.7900,12.0200,11.7500,11.9100,11.7700,31298519,372471249.0000,0.111368,1,0
2018-04-12,sh.600000,11.9100,11.9600,11.7600,11.7800,11.9100,18824289,222769476.0000,0.066981,1,0
2018-04-13,sh.600000,11.8300,11.8900,11.6900,11.6900,11.7800,14094853,166015524.0000,0.050153,1,0
2018-04-16,sh.600000,11.8000,11.8000,11.5400,11.5500,11.6900,23720095,275070676.0000,0.084402,1,0
2018-04-17,sh.600000,11.5600,11.7000,11.5500,11.5500,11.5500,25469983,296234022.0000,0.090628,1,0
2018-04-18,sh.600000,11.7500,11.7900,11.6600,11.7300,11.5500,26295275,308485462.0000,0.093565,1,0
