,col,Mean,Variance,min,max,target
0,close,-34.98538839961649,471.3294044594598,1.5359014355580058,73.83929726943602,Signal3
1,volume,-7.6743162878788,374.62979660532886,0.38265827077310616,59.766642849066955,Signal3
2,5_day_mean_growth,-11.247955741779933,280.64216256228417,0.21603582866717833,39.4958743176264,Signal3
3,5_day_max_growth,-7.9499747665130185,350.56323517334124,0.8154742694927217,50.06269208701188,Signal3
4,5_day_min_growth,-4.81239504143282,372.66473814159525,0.052046464838463875,58.537352825672315,Signal3
5,5_day_price_variance,-2.112386906475063,346.0299072514195,0.23468394291927713,48.480383252190535,Signal3
6,5-Day Price 4th Derivative,-10.450340999869207,270.8135148544525,0.37630027946727784,42.50073162951493,Signal3
7,5-Day Price x Volume,-11.333083860825012,362.6611738673389,0.07807706683197285,61.395583266417056,Signal3
8,3-Day Avg Close,-34.39494126441869,442.60221307537256,0.7563608684398002,69.45284846298024,Signal3
9,10-Day Avg Close,-28.84722770883465,386.29519901642254,0.006445858418252903,68.19921583652564,Signal3
10,15-Day Avg Close,-25.80170084229948,381.9283663591573,0.5827578074645353,56.848375578595856,Signal3
11,30-Day Avg Close,-19.936671745756325,419.4614970630939,0.022044268511586897,56.89195876428747,Signal3
12,60-Day Avg Close,-10.619213133418086,475.5873275934631,0.19367311999840972,50.30706994754184,Signal3
13,close,-44.22007694086142,564.6894300771834,0.24066265222467909,77.72858709393986,Signal5
14,volume,-13.751723301525988,523.2256791420342,0.3185396009913376,64.86290504347194,Signal5
15,5_day_mean_growth,-12.41262900286691,413.1190586099046,0.4097943492543636,49.69621821432816,Signal5
16,5_day_max_growth,-8.884865481483805,421.43588256842423,0.009358558280449172,54.875020047379095,Signal5
17,5_day_min_growth,-5.577366047750861,527.7457587640137,1.5479294203854375,64.68904003271847,Signal5
18,5_day_price_variance,-1.9699722816113348,461.6019734130857,0.12093531935734544,62.370978757449734,Signal5
19,5-Day Price 4th Derivative,-12.164710723733382,370.2341881398672,1.904608926094798,48.525968958459245,Signal5
20,5-Day Price x Volume,-18.139414825914137,498.2352521846885,0.6903500113882994,67.34891117851804,Signal5
21,3-Day Avg Close,-42.22201508437065,532.0956587924417,3.8505539945486595,74.61026973907428,Signal5
22,10-Day Avg Close,-35.25288883314744,553.9090546066761,2.929590495348199,80.15040339088266,Signal5
23,15-Day Avg Close,-31.633095192363157,551.5361809459231,0.08809263211665204,69.99916213058678,Signal5
24,30-Day Avg Close,-24.86001088076071,596.2153700360002,2.6012550152430407,69.42098420828472,Signal5
25,60-Day Avg Close,-12.678289779538764,694.6771039998248,1.416832941865186,66.88425729068064,Signal5
26,close,-55.132911678551366,727.6293982991535,1.6280685499560534,89.34869196407288,Signal10
27,volume,-21.38328983844983,801.620022762893,0.3987821901756018,77.55620850313666,Signal10
28,5_day_mean_growth,-17.414359996616728,458.8628538899652,1.5300167796032167,59.068579254348705,Signal10
29,5_day_max_growth,-11.424991880792579,615.4480448552617,0.1905148797893097,54.696137209043385,Signal10
30,5_day_min_growth,-11.653387744632264,568.6552514484205,0.07960124299100321,62.715799175791695,Signal10
31,5_day_price_variance,-0.3236636434731138,625.872994124356,0.8073535679481878,53.45717227064264,Signal10
32,5-Day Price 4th Derivative,-15.936628936623858,421.5276905084886,0.24342375569141123,58.882734038332664,Signal10
33,5-Day Price x Volume,-26.69795237997142,745.9091970690473,0.44771789549685737,79.41569832136244,Signal10
34,3-Day Avg Close,-52.94523952392994,736.1897322973155,3.6907085489622267,86.7947585843313,Signal10
35,10-Day Avg Close,-43.148008732196274,1011.0403263112762,0.5034694643908115,85.35887645224848,Signal10
36,15-Day Avg Close,-38.769538150415805,1023.5707794948985,3.4965195213920803,90.53482071361692,Signal10
37,30-Day Avg Close,-29.11018885568684,1042.6047737341764,0.25800664375266114,86.26009864446686,Signal10
38,60-Day Avg Close,-13.688938350769813,1253.1265759270968,0.4440692124156787,80.42545197831288,Signal10
39,close,-63.07608703858622,1082.1156735633365,5.0367692901192385,95.18558061759401,Signal20
40,volume,-28.17547418859146,1056.5858341540825,0.15358952458753874,81.30280607077832,Signal20
41,5_day_mean_growth,-22.25724664264311,421.2048114024348,2.0526682811687973,73.99952921585859,Signal20
42,5_day_max_growth,-12.848256839678122,568.8073350138426,0.2308830584460423,67.52328838986568,Signal20
43,5_day_min_growth,-14.110643096611822,720.4418188716851,0.23638950737826647,74.85458414549932,Signal20
44,5_day_price_variance,0.7216228760988799,747.2888268418646,0.9121470841833021,62.710386663928595,Signal20
45,5-Day Price 4th Derivative,-20.502772044722914,377.98393598472785,0.10727007976210026,69.75402021834934,Signal20
46,5-Day Price x Volume,-34.34030250291714,1034.4121974997136,2.343103703320568,85.10397379731353,Signal20
47,3-Day Avg Close,-59.91655408754696,1168.996936550138,1.7844040595953075,94.56372594636223,Signal20
48,10-Day Avg Close,-47.57181061492953,1366.6942534356576,4.754215741092971,94.67683959597765,Signal20
49,15-Day Avg Close,-40.883206464165454,1446.125931765047,2.426842169498681,94.26610880268285,Signal20
50,30-Day Avg Close,-25.78373909779637,2114.8287011338884,0.3307301192452967,94.00703951103289,Signal20
51,60-Day Avg Close,-10.895263530271787,2503.124057809016,1.1354492086089485,92.05218447533248,Signal20
52,close,-66.14036077164613,852.1481716130351,1.957031678130678,98.00233358437356,Signal30
53,volume,-26.118594160053753,1037.0500758688306,0.4810730758055249,79.57550339103827,Signal30
54,5_day_mean_growth,-26.249690382645362,501.97981453317357,0.33100087623061175,70.21960087778163,Signal30
55,5_day_max_growth,-16.04411012748623,534.7194297312247,0.5052978806595743,78.38273823959014,Signal30
56,5_day_min_growth,-16.47070364459144,827.1679111917705,0.10729817221222102,71.42138272658637,Signal30
57,5_day_price_variance,-0.18339133628112247,916.395838176385,0.607848244869583,65.52865792673109,Signal30
58,5-Day Price 4th Derivative,-24.053619077904965,437.93585688120993,0.5922729023484632,61.20591116165359,Signal30
59,5-Day Price x Volume,-32.903464199741826,997.1489994621542,0.9323967832968731,84.771175610846,Signal30
60,3-Day Avg Close,-62.21398085038155,955.5203150991797,4.1814214901984315,96.5355595300961,Signal30
61,10-Day Avg Close,-47.0600317541744,1550.788210612939,0.056353748846848704,97.52123748191956,Signal30
62,15-Day Avg Close,-39.07913075980068,1809.1469480441651,0.8697098311083559,96.27216879758927,Signal30
63,30-Day Avg Close,-24.63614234201598,2842.5414013524446,6.010024920838286,95.37790739729309,Signal30
64,60-Day Avg Close,-11.626554415063879,3391.525867457242,2.3454077525921857,97.04627113790556,Signal30
