数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方微信:yucezhekefu，或者官方QQ:730809289
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600003,sh600003,1999-08-10,5.35,7.8,5.31,6.82,4.0,151209365,940598843.0
sh600003,sh600003,1999-08-11,6.47,6.58,6.14,6.26,6.82,57525816,365727509.0
sh600003,sh600003,1999-08-12,6.25,6.56,6.21,6.52,6.26,25546980,163599172.0
sh600003,sh600003,1999-08-13,6.53,6.75,6.48,6.52,6.52,28673288,189696733.0
sh600003,sh600003,1999-08-16,6.56,6.79,6.52,6.7,6.52,19677035,131350297.0
sh600003,sh600003,1999-08-17,6.72,6.77,6.58,6.68,6.7,18303218,122094266.0
sh600003,sh600003,1999-08-18,6.68,6.69,6.42,6.57,6.68,10419875,67770944.0
sh600003,sh600003,1999-08-19,6.58,6.92,6.46,6.74,6.57,17454038,116756607.0
sh600003,sh600003,1999-08-20,6.78,7.0,6.75,6.82,6.74,16431286,113157313.0
sh600003,sh600003,1999-08-23,6.89,6.96,6.76,6.79,6.82,10327571,70831799.0
sh600003,sh600003,1999-08-24,6.8,6.85,6.67,6.73,6.79,8897061,59930416.0
sh600003,sh600003,1999-08-25,6.76,6.78,6.66,6.7,6.73,7416522,49630105.0
sh600003,sh600003,1999-08-26,6.69,6.84,6.66,6.78,6.7,4328206,29170323.0
sh600003,sh600003,1999-08-27,6.78,6.79,6.68,6.69,6.78,4236273,28386466.0
sh600003,sh600003,1999-08-30,6.75,6.77,6.52,6.55,6.69,6286097,41545088.0
sh600003,sh600003,1999-08-31,6.55,6.67,6.5,6.6,6.55,3511845,23073206.0
sh600003,sh600003,1999-09-01,6.6,6.64,6.5,6.52,6.6,2685554,17575806.0
sh600003,sh600003,1999-09-02,6.5,6.59,6.4,6.53,6.52,3546828,22946164.0
sh600003,sh600003,1999-09-03,6.58,6.59,6.4,6.42,6.53,2540500,16434912.0
sh600003,sh600003,1999-09-06,6.39,6.4,6.24,6.28,6.42,2742996,17344677.0
sh600003,sh600003,1999-09-07,6.28,6.42,6.28,6.32,6.28,1784634,11299390.0
sh600003,sh600003,1999-09-08,6.32,6.52,6.3,6.42,6.32,1721284,11084542.0
sh600003,sh600003,1999-09-09,6.52,6.83,6.52,6.82,6.42,8821271,59480257.0
sh600003,sh600003,1999-09-10,6.88,7.15,6.8,6.94,6.82,19885941,138863553.0
sh600003,sh600003,1999-09-13,6.99,7.2,6.99,7.05,6.94,9731755,68840647.0
sh600003,sh600003,1999-09-14,7.12,7.19,6.91,6.96,7.05,7209585,50655465.0
sh600003,sh600003,1999-09-15,6.96,7.0,6.85,6.89,6.96,4124820,28425761.0
sh600003,sh600003,1999-09-16,6.88,6.89,6.78,6.79,6.89,3489094,23821871.0
sh600003,sh600003,1999-09-17,6.78,6.95,6.75,6.87,6.79,3771237,25777645.0
sh600003,sh600003,1999-09-20,6.86,6.87,6.75,6.77,6.87,2230423,15154508.0
sh600003,sh600003,1999-09-21,6.75,6.77,6.67,6.7,6.77,1820608,12212859.0
sh600003,sh600003,1999-09-22,6.7,6.74,6.69,6.71,6.7,1657258,11123595.0
sh600003,sh600003,1999-09-23,6.71,6.74,6.6,6.68,6.71,2101934,14003789.0
sh600003,sh600003,1999-09-24,6.7,6.85,6.7,6.75,6.68,1194774,8072248.0
sh600003,sh600003,1999-09-27,6.78,6.83,6.57,6.6,6.75,3090644,20475950.0
sh600003,sh600003,1999-09-28,6.6,6.62,6.51,6.54,6.6,1475650,9676737.0
sh600003,sh600003,1999-09-29,6.54,6.63,6.51,6.55,6.54,1299521,8524509.0
sh600003,sh600003,1999-09-30,6.6,6.6,6.48,6.52,6.55,1869210,12173639.0
sh600003,sh600003,1999-10-08,6.5,6.5,6.32,6.35,6.52,1529205,9738084.0
sh600003,sh600003,1999-10-11,6.3,6.38,6.23,6.31,6.35,1365415,8593766.0
sh600003,sh600003,1999-10-12,6.32,6.4,6.28,6.35,6.31,950592,6012298.0
sh600003,sh600003,1999-10-13,6.35,6.35,6.21,6.23,6.35,826600,5165867.0
sh600003,sh600003,1999-10-14,6.2,6.35,6.16,6.24,6.23,1134908,7082923.0
sh600003,sh600003,1999-10-15,6.31,6.42,6.28,6.37,6.24,1219153,7741663.0
sh600003,sh600003,1999-10-18,6.37,6.39,6.06,6.08,6.37,2764580,17046474.0
sh600003,sh600003,1999-10-19,6.08,6.08,5.88,5.91,6.08,2708366,16158249.0
sh600003,sh600003,1999-10-20,5.89,6.0,5.58,6.0,5.91,15440491,88524388.0
sh600003,sh600003,1999-10-21,5.95,5.98,5.74,5.78,6.0,5733421,33453693.0
sh600003,sh600003,1999-10-22,5.78,6.05,5.78,5.97,5.78,4342892,25771913.0
sh600003,sh600003,1999-10-25,6.03,6.15,5.93,6.03,5.97,5628917,34002582.0
sh600003,sh600003,1999-10-26,6.05,6.14,6.0,6.06,6.03,3000278,18160657.0
sh600003,sh600003,1999-10-27,6.18,6.6,6.11,6.4,6.06,12164317,77735409.0
sh600003,sh600003,1999-10-28,6.42,6.42,6.15,6.24,6.4,4639677,29008884.0
sh600003,sh600003,1999-10-29,6.21,6.3,6.05,6.13,6.24,3514739,21573185.0
sh600003,sh600003,1999-11-01,6.12,6.17,6.06,6.1,6.13,1249677,7620340.0
sh600003,sh600003,1999-11-02,6.19,6.28,6.06,6.11,6.1,1107600,6788507.0
sh600003,sh600003,1999-11-03,6.11,6.15,6.01,6.04,6.11,1621579,9804893.0
sh600003,sh600003,1999-11-04,6.01,6.04,5.96,6.0,6.04,1880600,11271973.0
sh600003,sh600003,1999-11-05,6.0,6.08,5.94,5.95,6.0,1936420,11592644.0
sh600003,sh600003,1999-11-08,5.95,6.02,5.9,5.99,5.95,1433908,8539093.0
sh600003,sh600003,1999-11-09,6.0,6.03,5.88,5.9,5.99,1777500,10569444.0
sh600003,sh600003,1999-11-10,5.9,5.9,5.8,5.89,5.9,1746913,10194626.0
sh600003,sh600003,1999-11-11,5.88,5.94,5.78,5.8,5.89,1897190,11066855.0
sh600003,sh600003,1999-11-12,5.85,5.85,5.76,5.81,5.8,937409,5439733.0
sh600003,sh600003,1999-11-15,5.81,5.83,5.75,5.78,5.81,1119697,6464028.0
sh600003,sh600003,1999-11-16,5.81,5.95,5.77,5.86,5.78,1223271,7135911.0
sh600003,sh600003,1999-11-17,5.86,5.98,5.85,5.97,5.86,1505994,8913446.0
sh600003,sh600003,1999-11-18,6.0,6.1,5.93,6.03,5.97,2706905,16358511.0
sh600003,sh600003,1999-11-19,6.04,6.1,5.9,5.9,6.03,1369914,8204933.0
sh600003,sh600003,1999-11-22,5.91,6.04,5.89,5.92,5.9,851077,5048866.0
sh600003,sh600003,1999-11-23,5.93,5.99,5.9,5.92,5.92,555900,3295133.0
sh600003,sh600003,1999-11-24,5.92,5.95,5.79,5.82,5.92,1338179,7793512.0
sh600003,sh600003,1999-11-25,5.82,5.88,5.73,5.76,5.82,2197960,12643701.0
sh600003,sh600003,1999-11-26,5.76,5.77,5.72,5.75,5.76,1385907,7955781.0
sh600003,sh600003,1999-11-29,5.75,5.75,5.64,5.67,5.75,1853792,10509573.0
sh600003,sh600003,1999-11-30,5.65,5.69,5.64,5.67,5.67,853199,4840111.0
sh600003,sh600003,1999-12-01,5.67,5.73,5.67,5.7,5.67,948143,5407887.0
sh600003,sh600003,1999-12-02,5.7,5.72,5.65,5.66,5.7,1026899,5820048.0
sh600003,sh600003,1999-12-03,5.66,5.68,5.61,5.62,5.66,1000814,5637741.0
sh600003,sh600003,1999-12-06,5.63,5.64,5.6,5.61,5.62,1102010,6178843.0
sh600003,sh600003,1999-12-07,5.61,5.64,5.6,5.61,5.61,721020,4046062.0
sh600003,sh600003,1999-12-08,5.62,5.63,5.5,5.54,5.61,1454621,8058642.0
sh600003,sh600003,1999-12-09,5.55,5.55,5.5,5.51,5.54,1051900,5793392.0
sh600003,sh600003,1999-12-10,5.5,5.51,5.4,5.47,5.51,1134550,6180484.0
sh600003,sh600003,1999-12-13,5.47,5.5,5.38,5.4,5.47,1668690,9044076.0
sh600003,sh600003,1999-12-14,5.4,5.45,5.35,5.43,5.4,1765839,9550444.0
sh600003,sh600003,1999-12-15,5.44,5.59,5.44,5.51,5.43,1804700,9998100.0
sh600003,sh600003,1999-12-16,5.55,5.55,5.39,5.42,5.51,1464702,7938166.0
sh600003,sh600003,1999-12-17,5.4,5.43,5.34,5.35,5.42,1507397,8073158.0
sh600003,sh600003,1999-12-21,5.31,5.31,5.19,5.2,5.35,1373050,7167782.0
sh600003,sh600003,1999-12-22,5.2,5.2,5.02,5.08,5.2,1814630,9225716.0
sh600003,sh600003,1999-12-23,5.06,5.06,4.96,4.98,5.08,1742000,8705022.0
sh600003,sh600003,1999-12-24,4.98,5.01,4.84,4.92,4.98,1389700,6872727.0
sh600003,sh600003,1999-12-27,4.92,4.99,4.9,4.93,4.92,708890,3506628.0
sh600003,sh600003,1999-12-28,4.94,5.1,4.94,4.95,4.93,995400,4961654.0
sh600003,sh600003,1999-12-29,4.95,5.05,4.87,5.01,4.95,1375060,6808374.0
sh600003,sh600003,1999-12-30,5.01,5.05,4.97,5.02,5.01,954868,4774733.0
sh600003,sh600003,2000-01-04,5.02,5.2,4.98,5.17,5.02,1752356,8895486.0
