数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方微信:yucezhekefu，或者官方QQ:730809289
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz000003,sz000003,1991-07-03,7.1,7.1,6.1,6.3,10.0,129500,808925.0
sz000003,sz000003,1991-07-04,6.3,6.35,6.1,6.15,6.3,153500,953575.0
sz000003,sz000003,1991-07-05,6.15,6.2,6.0,6.1,6.15,214500,1295775.0
sz000003,sz000003,1991-07-06,6.1,6.1,6.0,6.0,6.1,91500,551050.0
sz000003,sz000003,1991-07-08,6.0,6.05,5.45,5.45,6.0,135500,768800.0
sz000003,sz000003,1991-07-09,5.3,5.3,4.8,5.2,5.45,155500,779150.0
sz000003,sz000003,1991-07-10,5.2,5.45,5.2,5.4,5.2,197500,1057050.0
sz000003,sz000003,1991-07-11,5.3,5.4,5.0,5.1,5.4,222000,1155600.0
sz000003,sz000003,1991-07-12,5.1,5.1,4.8,5.0,5.1,229500,1146350.0
sz000003,sz000003,1991-07-13,5.0,5.1,4.95,5.05,5.0,95500,478950.0
sz000003,sz000003,1991-07-15,5.05,5.05,4.8,4.9,5.05,174000,849200.0
sz000003,sz000003,1991-07-16,4.9,4.9,4.7,4.9,4.9,232500,1109875.0
sz000003,sz000003,1991-07-17,4.6,4.65,4.3,4.6,4.9,151500,677550.0
sz000003,sz000003,1991-07-18,4.6,5.8,4.5,5.6,4.6,276500,1455400.0
sz000003,sz000003,1991-07-19,5.65,6.3,5.4,5.55,5.6,418500,2450975.0
sz000003,sz000003,1991-07-20,5.5,5.5,5.0,5.35,5.55,203000,1076625.0
sz000003,sz000003,1991-07-22,5.4,5.55,5.25,5.3,5.35,272000,1455275.0
sz000003,sz000003,1991-07-23,5.3,5.55,5.3,5.4,5.3,282500,1535725.0
sz000003,sz000003,1991-07-24,5.4,5.45,5.3,5.4,5.4,129500,695350.0
sz000003,sz000003,1991-07-25,5.4,5.4,5.25,5.35,5.4,156000,830200.0
sz000003,sz000003,1991-07-26,5.25,5.35,5.15,5.2,5.35,169500,885300.0
sz000003,sz000003,1991-07-27,5.2,5.25,5.1,5.25,5.2,63000,325250.0
sz000003,sz000003,1991-07-29,5.2,5.25,4.9,5.1,5.25,228000,1139825.0
sz000003,sz000003,1991-07-30,5.1,5.1,4.9,5.0,5.1,129500,640600.0
sz000003,sz000003,1991-07-31,5.0,5.2,4.95,5.2,5.0,165500,841700.0
sz000003,sz000003,1991-08-01,5.15,5.3,5.1,5.3,5.2,183000,949700.0
sz000003,sz000003,1991-08-02,5.25,5.3,5.15,5.3,5.3,206000,1081950.0
sz000003,sz000003,1991-08-03,5.2,5.3,5.15,5.25,5.3,48500,253550.0
sz000003,sz000003,1991-08-05,5.25,5.3,5.2,5.25,5.25,113500,593775.0
sz000003,sz000003,1991-08-06,5.2,5.25,5.15,5.2,5.25,159000,828225.0
sz000003,sz000003,1991-08-07,5.15,5.2,5.1,5.15,5.2,137000,706250.0
sz000003,sz000003,1991-08-08,5.15,5.15,5.1,5.1,5.15,130500,668175.0
sz000003,sz000003,1991-08-09,5.1,5.15,5.05,5.1,5.1,120000,610700.0
sz000003,sz000003,1991-08-10,5.05,5.15,5.05,5.15,5.1,48500,245925.0
sz000003,sz000003,1991-08-12,5.15,5.2,5.1,5.1,5.15,98000,506075.0
sz000003,sz000003,1991-08-13,5.15,5.15,5.1,5.1,5.1,92000,470100.0
sz000003,sz000003,1991-08-14,5.1,5.15,5.1,5.1,5.1,66000,337400.0
sz000003,sz000003,1991-08-15,5.1,5.15,5.0,5.05,5.1,132500,670850.0
sz000003,sz000003,1991-08-16,5.05,5.1,5.0,5.05,5.05,181000,908850.0
sz000003,sz000003,1991-08-17,5.0,5.05,5.0,5.0,5.05,48000,240850.0
sz000003,sz000003,1991-08-19,5.0,5.25,5.0,5.2,5.0,73000,376800.0
sz000003,sz000003,1991-08-20,5.2,5.2,5.05,5.1,5.2,92000,469825.0
sz000003,sz000003,1991-08-21,5.05,5.1,5.05,5.1,5.1,79000,400575.0
sz000003,sz000003,1991-08-22,5.05,5.15,5.0,5.1,5.1,142500,719900.0
sz000003,sz000003,1991-08-23,5.05,5.05,5.0,5.0,5.1,117500,589125.0
sz000003,sz000003,1991-08-24,5.1,5.1,5.0,5.1,5.0,65000,328425.0
sz000003,sz000003,1991-08-26,5.05,5.1,5.0,5.05,5.1,64000,322850.0
sz000003,sz000003,1991-08-27,5.05,5.05,5.0,5.0,5.05,143000,717225.0
sz000003,sz000003,1991-08-28,5.0,5.0,4.95,5.0,5.0,73500,366600.0
sz000003,sz000003,1991-08-29,4.9,5.0,4.9,5.0,5.0,54000,268150.0
sz000003,sz000003,1991-08-30,5.0,5.0,4.9,4.95,5.0,95000,470550.0
sz000003,sz000003,1991-08-31,4.9,4.95,4.9,4.95,4.95,28000,137700.0
sz000003,sz000003,1991-09-02,4.9,4.95,4.85,4.95,4.95,87500,428925.0
sz000003,sz000003,1991-09-03,4.85,4.95,4.85,4.85,4.95,82500,403475.0
sz000003,sz000003,1991-09-04,4.85,4.9,4.7,4.75,4.85,101000,484300.0
sz000003,sz000003,1991-09-05,4.7,4.8,4.5,4.55,4.75,129500,602800.0
sz000003,sz000003,1991-09-06,4.55,4.55,4.3,4.35,4.55,153000,674300.0
sz000003,sz000003,1991-09-07,4.35,4.4,4.3,4.3,4.35,125500,544125.0
sz000003,sz000003,1991-09-09,4.3,4.7,4.3,4.7,4.3,236500,1077800.0
sz000003,sz000003,1991-09-10,4.7,4.75,4.5,4.6,4.7,150500,699050.0
sz000003,sz000003,1991-09-11,4.55,4.7,4.55,4.65,4.6,252500,1166725.0
sz000003,sz000003,1991-09-12,4.7,4.7,4.6,4.7,4.65,224500,1042700.0
sz000003,sz000003,1991-09-13,4.65,4.7,4.55,4.65,4.7,154000,711000.0
sz000003,sz000003,1991-09-14,4.55,4.6,4.5,4.55,4.65,47000,213300.0
sz000003,sz000003,1991-09-16,4.55,4.6,4.5,4.6,4.55,113500,516850.0
sz000003,sz000003,1991-09-17,4.5,4.6,4.5,4.6,4.6,117500,534275.0
sz000003,sz000003,1991-09-18,4.55,4.55,4.5,4.55,4.6,92500,417375.0
sz000003,sz000003,1991-09-19,4.5,4.55,4.4,4.4,4.55,75000,335875.0
sz000003,sz000003,1991-09-20,4.4,4.45,4.4,4.45,4.4,101000,446000.0
sz000003,sz000003,1991-09-21,4.45,4.5,4.4,4.45,4.45,73500,327425.0
sz000003,sz000003,1991-09-23,4.45,4.5,4.45,4.5,4.45,74000,329650.0
sz000003,sz000003,1991-09-24,4.5,4.5,4.45,4.5,4.5,76500,342050.0
sz000003,sz000003,1991-09-25,4.45,4.75,4.45,4.5,4.5,335500,1577800.0
sz000003,sz000003,1991-09-26,4.5,4.55,4.5,4.55,4.5,94000,423750.0
sz000003,sz000003,1991-09-27,4.55,4.6,4.5,4.55,4.55,90000,412300.0
sz000003,sz000003,1991-09-28,4.6,4.65,4.45,4.65,4.55,1237000,5522125.0
sz000003,sz000003,1991-09-29,4.6,4.7,4.6,4.7,4.65,115500,539675.0
sz000003,sz000003,1991-10-03,4.7,5.1,4.7,4.95,4.7,286500,1420825.0
sz000003,sz000003,1991-10-04,5.0,5.0,4.9,4.95,4.95,403000,1982600.0
sz000003,sz000003,1991-10-05,4.95,4.95,4.8,4.9,4.95,183500,894050.0
sz000003,sz000003,1991-10-07,4.95,5.7,4.95,5.7,4.9,561000,2961275.0
sz000003,sz000003,1991-10-08,5.9,7.0,5.9,6.6,5.7,754000,5050700.0
sz000003,sz000003,1991-10-09,6.75,8.8,6.75,8.5,6.6,688000,5478025.0
sz000003,sz000003,1991-10-10,8.7,10.1,8.0,8.2,8.5,772500,7061550.0
sz000003,sz000003,1991-10-11,8.0,8.4,6.85,8.1,8.2,842000,6321175.0
sz000003,sz000003,1991-10-12,8.1,8.6,8.1,8.5,8.1,506000,4297375.0
sz000003,sz000003,1991-10-14,8.6,8.8,8.4,8.4,8.5,536500,4631100.0
sz000003,sz000003,1991-10-15,8.4,8.65,7.7,7.9,8.4,322000,2584300.0
sz000003,sz000003,1991-10-16,8.0,8.0,7.7,7.7,7.9,392000,3052125.0
sz000003,sz000003,1991-10-17,7.65,8.0,7.5,7.95,7.7,492000,3805300.0
sz000003,sz000003,1991-10-18,8.0,8.4,8.0,8.0,7.95,569500,4669425.0
sz000003,sz000003,1991-10-19,8.0,8.0,7.7,8.0,8.0,125500,991750.0
sz000003,sz000003,1991-10-21,8.0,8.0,7.7,7.9,8.0,375000,2944200.0
sz000003,sz000003,1991-10-22,7.9,7.9,7.7,7.75,7.9,392000,3047025.0
sz000003,sz000003,1991-10-23,7.7,7.75,7.5,7.7,7.75,427500,3272425.0
sz000003,sz000003,1991-10-24,7.8,8.0,7.8,7.9,7.7,341500,2692775.0
sz000003,sz000003,1991-10-25,8.0,8.0,7.8,7.9,7.9,271000,2135075.0
sz000003,sz000003,1991-10-26,8.0,8.0,7.85,7.9,7.9,237500,1873150.0
sz000003,sz000003,1991-10-28,8.0,8.65,7.9,8.4,7.9,512500,4177725.0
